x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
1.83;8;4;6;4;2;4;78;94;86;80;86;70;34;44;40;38;40;40
1.84;2;4;12;6;4;6;74;92;88;98;76;70;46;46;44;32;44;30
1.85;8;6;4;6;10;8;88;84;82;100;86;62;40;50;36;52;40;42
1.86;12;0;14;10;10;10;76;68;80;66;84;70;40;30;32;38;58;44
1.87;10;16;16;10;16;10;76;74;64;82;74;96;36;32;28;34;34;36
1.88;14;12;8;18;14;16;80;86;82;64;68;72;40;42;48;44;36;50
1.89;14;20;10;22;24;26;88;88;82;82;78;68;46;46;32;56;44;36
1.90;16;22;22;20;14;26;78;96;88;90;90;100;42;46;52;30;34;42
1.91;28;20;28;28;30;20;64;92;88;86;76;66;36;40;48;34;50;54
1.92;40;40;40;28;36;28;74;64;72;78;78;78;48;56;46;50;46;48
1.93;56;50;40;28;40;32;96;92;78;78;88;100;62;56;36;40;60;48
1.94;50;46;60;50;50;44;84;70;108;104;88;100;46;44;44;50;42;52
1.95;46;52;54;48;58;74;78;94;60;88;108;82;42;56;52;44;34;32
1.96;52;64;64;56;62;58;68;86;90;80;88;98;42;36;36;50;64;52
1.97;82;64;72;68;94;68;96;82;106;88;84;88;32;36;50;52;38;52
1.98;82;94;98;76;100;86;78;100;100;86;76;78;42;36;50;46;48;58
1.99;94;98;82;108;106;92;72;104;86;90;84;76;54;36;52;54;36;52
2.00;98;120;122;114;112;120;64;90;78;90;80;84;66;62;36;38;50;54
2.01;104;112;126;128;106;134;90;76;80;74;94;88;54;50;52;30;38;68
2.02;132;136;134;116;128;130;110;98;82;78;80;90;60;50;66;58;42;50
2.03;168;136;142;154;136;160;76;68;104;88;106;88;52;66;66;60;66;38
2.04;144;156;140;124;174;168;72;86;82;106;86;68;48;52;52;54;50;64
2.05;192;148;160;162;178;172;84;92;94;94;92;68;64;50;54;50;46;64
2.06;174;162;146;180;208;192;88;90;82;70;92;106;34;48;54;54;40;66
2.07;172;188;188;172;172;176;70;98;108;88;90;80;68;52;48;48;52;66
2.08;188;190;230;210;200;190;80;78;88;86;94;72;64;54;58;58;40;52
2.09;204;214;204;230;192;190;88;70;106;86;98;78;52;62;44;56;48;58
2.10;202;240;228;230;248;228;86;86;80;102;94;78;42;52;54;48;64;34
2.11;234;250;258;236;224;218;88;76;98;88;84;90;56;52;50;50;68;44
2.12;250;246;234;278;222;252;90;86;108;90;90;84;46;64;50;54;42;52
2.13;246;254;256;250;288;274;88;94;98;102;100;98;56;62;56;56;68;60
2.14;260;280;260;278;246;274;76;90;92;94;100;96;72;44;44;50;62;54
2.15;268;252;300;276;304;250;98;70;86;92;108;74;48;64;56;72;76;50
2.16;288;270;262;304;292;296;92;82;84;100;112;92;62;42;50;46;40;56
2.17;272;298;276;274;294;286;74;98;78;90;90;96;50;74;50;44;44;60
2.18;306;292;298;268;296;298;116;82;104;94;90;90;50;70;68;72;76;64
2.19;292;300;286;274;300;322;94;94;76;98;96;86;44;66;60;54;78;50
2.20;288;300;294;260;274;308;82;70;104;68;114;94;74;54;56;64;70;76
2.21;276;288;314;350;284;294;114;106;96;84;106;86;56;76;60;70;68;66
2.22;310;314;346;302;340;302;90;98;102;96;96;96;54;54;42;50;46;46
2.23;308;322;334;332;302;336;116;88;78;92;104;106;58;66;74;64;66;72
2.24;302;282;286;310;308;292;118;106;72;96;98;90;60;66;46;62;64;62
2.25;292;274;312;312;336;336;94;90;94;96;90;112;56;72;56;60;50;64
2.26;262;274;290;274;318;284;84;92;98;84;90;108;70;48;44;62;52;74
2.27;326;296;336;334;280;286;102;104;84;114;84;90;76;68;68;76;48;72
2.28;296;284;310;326;314;282;98;104;88;102;114;92;70;48;64;52;62;72
2.29;258;340;296;276;304;264;84;92;106;104;86;100;68;84;46;68;66;80
2.30;280;310;316;270;278;278;106;94;78;84;98;82;66;54;66;68;62;66
2.31;310;304;278;286;280;276;80;110;76;84;78;100;60;66;68;76;62;56
2.32;288;240;280;282;266;276;104;96;86;94;76;112;68;48;76;66;76;76
2.33;296;262;280;260;254;290;112;82;80;106;84;100;74;70;66;74;70;58
2.34;262;236;264;228;272;242;106;90;112;116;100;112;64;72;64;80;62;66
2.35;242;212;232;230;236;268;86;108;98;88;114;118;80;66;80;70;48;70
2.36;242;240;262;258;230;226;96;92;100;94;104;98;66;84;68;68;52;84
2.37;256;222;222;210;246;228;92;108;104;110;102;104;70;58;70;74;86;62
2.38;220;194;218;244;208;222;104;94;104;120;116;100;76;62;76;72;76;60
2.39;224;228;222;210;200;202;76;86;86;78;104;94;74;62;62;66;64;70
2.40;210;184;178;200;198;226;98;102;92;94;102;104;52;62;68;66;66;78
